
重庆台,#genre#
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225791/index.m3u8
重庆卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226680/1.m3u8
重庆新闻,https://sjlivecdn9.cbg.cn/204912315959/app_2/_definst_/ls_3.stream/chunklist.m3u8
重庆新闻,https://tv.iill.top/cqyx/CQTVNewsHD
重庆新闻,https://sjlivecdn9.cbg.cn/204912315959/app_2/_definst_/ls_3.stream/chunklist.m3u8
重庆新闻,https://sjlivecdn9.cbg.cn/202906282314/app_2/_definst_/ls_3.stream/chunklist.m3u8
北碚综合,http://222.178.181.121:12034/beibei01.m3u8
璧山综合,http://222.179.42.129:8181/hls1.m3u8
大足综合,http://218.201.85.71:3170/m3u8
荣昌综合,http://183.64.181.25:40023/rongchang01.m3u8
万盛新闻综合,http://stream0.tv41.ru/live.m3u8
万源新闻综合,http://live.wanyuannews.com/wytv/hd/live.m3u8
万载综合,http://live-echotv.cdnvideo.ru/echotv/echotv.sdp/playlist.m3u8
万载综合,http://ls.qingting.fm/live/273.m3u8
万州科教,http://123.146.162.24:8017/Cz7WPb8/800/live.m3u8
万州科教,http://wanzhoulive.cbg.cn:8017/Cz7WPb8/800/live.m3u8
万州三峡移民,http://123.146.162.24:8013/tslslive/PU2vzMI/hls/live_sd.m3u8
万州三峡移民,http://wanzhoulive.cbg.cn:8017/c2F0hmi/1000/live.m3u8
万州影视,http://123.146.162.24:8013/tslslive/vWlnEzU/hls/live_sd.m3u8
万州影视,http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
万州影视文艺,http://123.146.162.24:8017/d4ceB1a/1000/live.m3u8
万州综合,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8
万州综合,http://wanzhoulive.cbg.cn:8017/iTXwrGs/800/live.m3u8
武隆综合,https://qxlmlive9.cbg.cn/applive/wltvzh/playlist.m3u8

移动央视,#genre#
CCTV-1(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8$移动高清

CCTV-1(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8$移动高清

CCTV-2(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8$移动高清

CCTV-2(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8$移动高清

CCTV-3(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8$移动高清

CCTV-3(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226009/index.m3u8$移动高清

CCTV-4(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8$移动高清

CCTV-4(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226223/index.m3u8$移动高清

CCTV-5(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8$移动高清

CCTV-5+(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8$移动高清

CCTV-5+(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8$移动高清

CCTV-6(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8$移动高清

CCTV-6(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226011/index.m3u8$移动高清

CCTV-7(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8$移动高清

CCTV-8(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8$移动高清

CCTV-9(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8$移动高清

CCTV-10(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8$移动高清

CCTV-11(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8$移动高清

CCTV-12(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8$移动高清

CCTV-13(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8$移动高清

CCTV-14(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8$移动高清

CCTV-15(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8$移动高清

CCTV-16(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8$移动高清

CCTV-17(1080p),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8$移动高清

CCTV-1(1080p),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$黑龙移动
CCTV-2(720P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8$黑龙移动
CCTV-3(1080p),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$黑龙移动
CCTV-4(720P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8$黑龙移动
CCTV-5(1080p),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8$黑龙移动
CCTV-5(1080p),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$黑龙移动
CCTV-5+(1080p),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$黑龙移动
CCTV-6(1080p),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$黑龙移动
CCTV-7(1080p),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$黑龙移动
CCTV-8(1080p),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8$黑龙移动
CCTV-9(1080p),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8$黑龙移动
CCTV-10(1080p),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8$黑龙移动
CCTV-11(720P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8$黑龙移动
CCTV-12(1080p),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8$黑龙移动
CCTV-13(720P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8$黑龙移动
CCTV-14(1080p),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8$黑龙移动
CCTV-15(720P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8$黑龙移动
CCTV-16(1080p),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$黑龙移动
CCTV-17(1080p),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8$黑龙移动

CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8$移动
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8$移动
CCTV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8$移动
CCTV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8$移动
CCTV5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8$移动
CCTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8$移动
